POINT_X;POINT_Y;CLASS
374934.0856;7091489.287;ASS
375943.7225;7091291.965;ASS
386131.3526;7086795.959;ASS
354842.0754;7126044.919;ASS
342556.6104;7124001.35;ASS
341037.5214;7124313.821;ASS
343393.7534;7123175.601;ASS
342977.9293;7121965.076;ASS
352899.5281;7122727.439;ASS
354935.6008;7124881.674;ASS
355400.6555;7123772.422;ASS
354840.5158;7122727.107;ASS
362799.3901;7109958.218;ASS
369696.2435;7121298.33;ASS
360854.1951;7113786.445;ASS
360808.0974;7112410.818;ASS
358124.2574;7112641.43;ASS
357907.8171;7113162.378;ASS
356365.7939;7111289.154;ASS
356690.8723;7110171.879;ASS
355750.979;7110282.574;ASS
355320.3997;7111802.127;ASS
355117.4787;7114191.521;ASS
356157.0005;7115094.876;ASS
369012.8907;7121174.771;ASS
370873.8417;7121609.199;ASS
371266.7769;7121152.338;ASS
371217.2353;7120177.553;ASS
372793.6792;7120586.537;ASS
375691.2071;7121761.616;ASS
392032.0768;7097444.15;ASS
390331.3891;7097925.872;ASS
371976.1308;7111199.034;ASS
364455.8531;7114800.079;ASS
366136.4013;7097955.798;ASS
365136.2457;7097668.681;ASS
364667.9564;7098640.038;ASS
394077.5717;7092889.554;ASS
388708.6712;7095793.786;ASS
388257.0728;7093395.692;ASS
389431.9266;7093231.208;ASS
390996.2936;7091373.381;ASS
390018.8016;7096304.364;ASS
353891.7111;7112373.313;ASS
367387.5633;7120206.224;ASS
356269.5517;7113778.738;ASS
362501.2104;7111140.107;ASS
360571.6699;7109352.574;ASS
359223.5606;7109856.39;ASS
358299.7049;7108616.605;ASS
359353.3224;7106820.497;ASS
359669.052;7105850.775;ASS
361982.1401;7107554.804;ASS
363481.893;7108951.717;ASS
361193.8103;7107923.348;ASS
360426.7039;7107662.623;ASS
360712.0671;7105228.89;ASS
359470.9227;7104553.196;ASS
365876.2524;7106612.195;ASS
375550.2426;7116520.7;ASS
373123.414;7116874.696;ASS
372453.668;7117681.978;ASS
367723.0252;7098127.552;ASS
363799.2142;7100880.901;ASS
363450.3827;7101988.946;ASS
363586.4753;7103963.276;ASS
362595.1401;7103597.089;ASS
364047.6046;7103900.133;ASS
377582.352;7120548.516;ASS
378313.6812;7119825.464;ASS
379377.7207;7119875.77;ASS
379901.7086;7120335.165;ASS
380383.3633;7120395.859;ASS
364410.3124;7104677.149;ASS
365683.688;7102222.569;ASS
364767.5106;7100002.355;ASS
365362.0185;7100243.049;ASS
370916.3466;7110470.018;ASS
375976.0396;7107911.531;ASS
377730.2293;7107820.774;ASS
386488.4622;7097752.387;ASS
394239.0956;7098635.836;ASS
391362.2542;7099006.527;ASS
395166.1712;7095118.889;ASS
363247.881;7122059.848;ASS
