CLASS,geometry
ASS,POINT (25.19542333412616 65.72724333276072)
ASS,POINT (25.180413333074867 65.73292500361475)
ASS,POINT (25.188273333506796 65.72109499648874)
ASS,POINT (25.21230166640622 65.72750499540105)
ASS,POINT (25.287751666111436 65.75482000070441)
ASS,POINT (25.263781667416378 65.73674332948252)
ASS,POINT (25.253948334288424 65.73931666518476)
ASS,POINT (25.264568334043087 65.74089833667097)
ASS,POINT (25.175561667232238 65.72501166801207)
ASS,POINT (25.158828334361697 65.717330000551)
ASS,POINT (25.19394166778278 65.7169549963978)
ASS,POINT (25.271876666636288 65.74530166541923)
ASS,POINT (25.27888833288203 65.74890666882627)
ASS,POINT (25.267260000082363 65.7511300036913)
ASS,POINT (25.30052000059881 65.76374666570835)
ASS,POINT (25.299628332935487 65.76914499536176)
ASS,POINT (25.31092833242805 65.76928167043638)
ASS,POINT (25.32359666585382 65.80073000256019)
ASS,POINT (25.31545000023428 65.79440000009585)
ASS,POINT (25.312685000349248 65.76315333368483)
ASS,POINT (25.329045000390476 65.79179999851743)
ASS,POINT (25.319636665759038 65.7896566685508)
ASS,POINT (25.32248333426939 65.79592500134035)
ASS,POINT (26.460902500979604 64.7122328357936)
ASS,POINT (26.42740583409249 64.74516450195863)
ASS,POINT (26.4012620010062 64.73561699811785)
ASS,POINT (26.48986649979515 64.71593417159278)
ASS,POINT (26.36335416688427 64.70167716484883)
ASS,POINT (26.390991667132788 64.6961420009249)
ASS,POINT (26.43899950080849 64.71983733660093)
ASS,POINT (26.315017167091195 64.574756167682)
ASS,POINT (26.41310433359394 64.75978133020874)
ASS,POINT (26.255230833052657 64.65148482991219)
ASS,POINT (26.215914667290885 64.65327583549977)
ASS,POINT (26.210284499140542 64.67630899780727)
ASS,POINT (26.212105333133735 64.69205282958768)
ASS,POINT (26.23037433276318 64.68698900101923)
ASS,POINT (26.155814654263096 64.74038113112896)
ASS,POINT (26.135696442353694 64.74060015141957)
ASS,POINT (26.27408383379716 64.78597833654135)
ASS,POINT (26.26870466664824 64.57962499642447)
ASS,POINT (26.278344832597522 64.5893481671854)
ASS,POINT (26.2848218333612 64.59577883526309)
ASS,POINT (25.71242367060518 64.60088253929862)
ASS,POINT (25.728229062833126 64.60374605905257)
ASS,POINT (25.68997960144421 64.60464947148157)
ASS,POINT (25.746118226120558 64.59084668931408)
ASS,POINT (25.708401800391048 64.61355972916841)
ASS,POINT (26.0384268330578 64.67663482976775)
ASS,POINT (26.059104500800732 64.66910516475548)
ASS,POINT (25.795538833729232 64.6304379987191)
ASS,POINT (25.80387283243743 64.63790683409404)
ASS,POINT (25.762635499461872 64.6399033344043)
ASS,POINT (25.804154165901206 64.65019916333756)
ASS,POINT (25.854584902247474 64.66427668090608)
ASS,POINT (26.59997633374699 64.599834164067)
ASS,POINT (26.587654500490476 64.60989549959343)
ASS,POINT (26.260538289718433 64.59691512880282)
ASS,POINT (26.22735866567899 64.6162229997252)
ASS,POINT (25.547622514289326 64.64154719587937)
ASS,POINT (26.478517167745835 64.68636932992779)
ASS,POINT (26.410715998944333 64.69380833483457)
ASS,POINT (26.290476666078597 64.63219383481986)
ASS,POINT (26.325571499111945 64.61942200017234)
ASS,POINT (26.226813667134262 64.67377917126532)
ASS,POINT (26.358939667352086 64.72392350233822)
